racedate,tvgtrackcode,race,bettinginterestnumber,horsename,morninglineodds,currentodds,winpayout
2020-06-07,bel,9,14,therapist,5,8,18.6
2020-06-07,bel,10,10,henni penny,10,9,20.2
2020-06-14,bel,1,8,fried rice king,4,7/2,9.9
2020-06-14,bel,2,5,keep your distance,6,4,10.2
2020-06-14,bel,3,5,cat's pajamas,6,7,17
2020-06-14,bel,4,4,ocean fire,6/5,3/5,3.3
2020-06-14,bel,5,3,kinky sox,10,15,32
2020-06-14,bel,6,4,spirit animal,2,8/5,5.5
2020-06-14,bel,7,5,jack of clubs,5,3,8.5
2020-06-14,bel,8,6,honor way,5,5,13.8
2020-06-14,bel,9,6,captain bombastic,5/2,3,8.2
2020-06-14,bel,10,12,quiet out east,10,9,20
2020-06-04,bel,4,7,danfusi,5/2,9/5,5.9
2020-06-04,bel,5,1,clara peeters (gb),9/5,4/5,3.9
2020-06-04,bel,5,1,stone tornado (gb),9/5,4/5,3.9
2020-06-04,bel,6,14,a d'oro,7/2,4,10
2020-06-04,bel,7,1,riken,10,25,52.5
2020-06-04,bel,8,3,tap it to win,4,6,14.4
2020-06-04,bel,9,9,paret (aus),20,35,78.5
2020-06-04,bel,10,7,hunnybunnerdini,15,45,97
2020-06-04,bel,1,5,super twenty seven,5,5,12.2
2020-06-04,bel,2,9,big boy mo,5,7,16.4
2020-06-04,bel,3,2,big thicket,3,5/2,7
2020-06-06,bel,1,2,getoffmyback,2,5/2,7.8
2020-06-20,bel,1,1,conglomerate,7/2,5/2,7.8
2020-06-20,bel,1,1,traffic pattern,7/2,5/2,7.8
2020-06-20,bel,2,1,no parole,3,3,8.2
2020-06-04,cd,4,3,tobys heart,6,3,8.8
2020-06-04,cd,5,7,silver ride,7/2,6/5,4.6
2020-06-04,cd,6,9,botero,6/5,1/2,3
2020-06-04,cd,7,1,counter offer,5,6,15.2
2020-06-04,cd,8,6,guarana,3/5,1/5,2.4
2020-06-04,cd,9,10,higher authority,6,11,24.6
2020-06-20,cd,1,11,embellisher,9/2,4,10.2
2020-06-20,cd,2,6,darren's fortune,5,6,15.4
2020-06-20,cd,3,10,moon over miami,8,5,12.8
2020-06-20,cd,4,3,partylicious,12,21,45.4
2020-06-20,cd,5,5,diamond crazy,3,9/5,5.6
2020-06-20,cd,6,6,field pass,2,3/2,5
2020-06-20,cd,7,6,uncle gregory,15,25,58.2
2020-06-20,cd,8,2,union maiden,7/2,6/5,4.4
2020-06-20,cd,9,3,factor this,8/5,1,4
2020-06-20,cd,10,10,yaupon,4,9/2,11.2
2020-06-20,cd,11,3,big dreaming,8/5,1,4.2
