"RCDate","RCTrack","DateHeading","Ordinal","JTCode","Trainer","Starts","Wins","Places","Shows","AvgWinPayoff"
05/02/2020,"GP","",155.00,"J","Gaffalione T",1.00,0.00,1.00,0.00,0.00
05/02/2020,"GP","",156.00,"T","DELGADO GUSTAVO",14.00,1.00,2.00,1.00,10.80
05/02/2020,"GP","",157.00,"J","Torres C A*",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",158.00,"T","BARBOZA VICTOR JR",23.00,3.00,3.00,3.00,6.47
05/02/2020,"GP","",159.00,"J","Gaffalione T",1.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",160.00,"J","Saez L",1.00,1.00,0.00,0.00,4.60
05/02/2020,"GP","",161.00,"T","MORRISON MICHAEL S",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",162.00,"J","Lebron V",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",163.00,"T","PUGH PETER D",2.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",164.00,"J","Torres C A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",165.00,"T","ROSE BARRY R",4.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",166.00,"J","Olsson F",4.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",167.00,"T","HESS R B JR",16.00,4.00,3.00,1.00,8.60
05/02/2020,"GP","",168.00,"J","Saez L",6.00,2.00,0.00,0.00,11.10
05/02/2020,"GP","",169.00,"T","SWICK DON",3.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",170.00,"J","Vasquez M A",1.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",171.00,"T","WARD WESLEY A",10.00,1.00,5.00,2.00,4.00
05/02/2020,"GP","",172.00,"J","Davis D",3.00,0.00,1.00,2.00,0.00
05/02/2020,"GP","",173.00,"T","GONZALEZ OSCAR M",18.00,1.00,3.00,2.00,12.80
05/02/2020,"GP","",174.00,"J","Reyes L R",3.00,1.00,1.00,0.00,12.80
05/02/2020,"GP","",175.00,"T","PLETCHER TODD A",54.00,9.00,10.00,8.00,10.42
05/02/2020,"GP","",176.00,"J","Davis D",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",177.00,"J","Ortiz I Jr",4.00,2.00,0.00,0.00,5.50
05/02/2020,"GP","",178.00,"J","Zayas E J",5.00,1.00,1.00,1.00,27.40
05/02/2020,"GP","",179.00,"J","Gaffalione T",2.00,1.00,0.00,0.00,15.60
05/02/2020,"GP","",180.00,"J","Saez L",33.00,5.00,8.00,6.00,7.96
05/02/2020,"GP","",181.00,"T","DE LA CERDA ARMANDO",14.00,1.00,1.00,2.00,11.60
05/02/2020,"GP","",182.00,"J","Zayas E J",3.00,0.00,1.00,2.00,0.00
05/02/2020,"GP","",183.00,"J","Jaramillo E",5.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",184.00,"T","MCPEEK KENNETH G",25.00,5.00,1.00,3.00,10.04
05/02/2020,"GP","",185.00,"J","Landeros C",3.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",186.00,"J","Davis D",8.00,1.00,0.00,1.00,6.00
05/02/2020,"GP","",187.00,"T","RODRIGUEZ HECTOR F",7.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",188.00,"J","Martinez G A*",3.00,0.00,0.00,0.00,0.00
